id,number of sources it appears,annotation count
304,4,9108
327,3,94
343,2,2699
1133,4,33345
1856,2,48
2447,3,1197
2452,1,2884
2865,2,19
2878,2,89
3603,1,2587
321,4,8338
2087,3,25242
2225,2,87
3538,2,626
2474,1,10527
2960,1,1005
3711,1,18
3793,1,35
1125,12,4548
1882,6,49386
1885,9,8492
2787,5,24255
3333,1,512
3932,3,1813
4117,1,50294
4120,1,3512
811,4,293
1829,6,11070
3797,1,228
3798,1,611
3799,1,1051
3800,1,113
1874,5,1251
1876,3,489
1880,3,2055
1881,1,2
1890,4,67
1891,7,6661
1892,6,317
1893,6,242
1894,8,1463
1900,2,18
1902,4,16228
2795,3,9824
165,1,87
432,4,410
634,5,67
665,2,171
682,2,48
781,3,59809
782,5,7007
1061,6,7213
1174,2,13
1435,2,92
1549,1,16
1556,3,322
1560,3,1929
1563,3,812
1566,2,161
1644,4,15671
1711,3,1934
1795,6,2827
1911,12,60404
1926,2,1394
1936,2,1106
1949,3,142
1961,2,238
1968,2,157
1985,2,2
1988,2,27
2001,4,25
2018,3,346
2047,5,4921
2048,4,302
2055,6,166
2110,1,23
2119,3,2810
2332,1,20
2379,1,6
2532,2,2490
2605,4,204
2882,1,712
3052,2,13
3086,2,22
3201,2,412
3323,1,19
3328,1,118
3536,1,1536
3805,1,102
3817,1,92
3824,1,187
3831,1,5
3858,1,955
3859,1,10
3860,1,33
3861,1,41
3862,1,181
3863,1,12
3864,1,4
3865,1,37
3866,1,19
3868,1,447
3869,1,109
3870,1,316
3871,1,914
3872,1,232
3873,1,156
3874,1,2749
3875,1,205
3880,1,383
3881,1,3610
3882,1,94
3883,1,486
3884,1,821
3885,1,9
3886,1,87
3887,1,373
3888,1,39
3889,1,23
3890,1,7
3893,1,284
3894,1,8
3895,1,134
3896,1,8
3897,1,606
3898,1,192
3899,1,23
3900,1,23
3901,1,79
3902,1,832
3903,1,73
3904,1,39
3905,1,11
3906,1,14
3907,1,289
3908,1,403
3909,1,12
3910,1,28
3911,1,1
3913,1,320
3914,1,431
3915,1,9
3916,1,9
3917,1,5
3918,1,298
3919,1,11
3923,1,215
3924,1,2300
3925,1,355
3926,1,188
3927,1,128
3928,1,181
3929,1,120
3934,1,1
3935,1,2
3936,1,36
3937,1,17
3938,1,14
3939,1,1
3965,1,95
3966,1,98
3967,1,56
3971,1,70
3972,1,73
4100,1,106
4102,1,68
4103,1,127
4104,1,42
4105,1,9
4106,1,43
3921,1,3
3385,2,7494
3876,1,566
3877,1,118
3878,1,549
1879,3,1222
2238,3,94095
2472,3,2494
3933,2,2887
202,4,325
203,3,847
211,3,611
609,6,459
633,3,3984
1458,3,8814
2148,3,112
2494,2,217
2596,4,3782
2601,1,4
2654,3,571
3461,2,30
3464,1,77
3726,1,1
3828,1,32
3930,1,1
3931,1,11
626,1,3061
4099,1,28
233,3,4475
4109,1,3654
4110,1,2752
4111,1,16
4112,1,54
4114,1,15733
4115,1,2673
628,4,2474
629,4,6662
630,4,5034
631,4,17182
632,4,435
641,8,12491
642,9,19096
643,5,16
645,4,8
647,5,86
648,5,2937
1119,5,1180
1260,8,7245
1261,3,63
1614,7,31
2106,2,5894
100,10,4064
655,2,4428
1176,5,3205
1362,2,54
1363,8,60
1367,2,15
1373,3,309
1375,4,13
1377,4,71
1379,2,10
1384,5,1258
1389,3,23
1390,5,12509
1398,5,53
1769,6,4427
1770,2,2
1775,7,166
1777,4,50
1783,3,1557
1785,2,24
1786,5,40
1789,1,1
1794,1,1581
2457,1,25
2459,2,9
2460,2,256
2544,2,397
2545,2,995
2963,2,2062
2969,2,221
3264,1,10
3352,1,9
3676,1,1
3825,1,81
246,4,75
2084,3,1087
77,11,811
85,8,157644
90,4,895
644,1,2
544,3,22
548,1,2
125,2,5306
762,2,4664
763,2,5248
764,2,3728
765,2,877
766,2,2306
769,2,266
770,2,3076
771,2,4387
772,2,3414
773,2,1969
775,2,3887
776,2,2002
783,2,6386
784,2,3638
786,2,5861
1922,2,373
287,3,217
292,6,33914
300,6,51177
306,3,35
309,3,1534
314,3,2401
315,4,125
316,3,250
319,4,4590
320,4,401
326,6,15095
328,4,135
330,1,47
334,3,133
338,2,1074
340,3,18
341,2,33
357,2,1420
359,1,125
371,1,100
372,2,21989
801,5,337408
802,1,677
803,2,70
931,1,334
106,4,47450
109,6,3379
112,1,350
500,1,80
967,2,216
205,1,33
2034,1,36
2062,2,108
2070,1,44
2128,1,6
299,3,522
335,2,91
566,2,7681
567,4,18739
568,2,17
569,3,1529
570,1,22515
571,3,63
574,2,45
576,1,19145
577,3,887
578,1,13656
579,2,26671
580,2,749
581,1,163
582,4,5842
583,1,17
585,2,2826
587,1,4073
588,1,9791
589,1,13909
590,1,2373
591,1,4641
640,1,631
691,2,742
692,2,1624
693,3,145
695,2,655
705,1,4
707,3,110
708,2,1068
709,2,6
710,1,7
711,1,1106
712,2,3344
714,1,38
715,2,3399
720,1,1179
721,1,13
722,2,3655
726,1,2
727,2,3855
728,1,4
730,2,217
731,1,1
734,2,28
741,1,10
746,1,2
750,3,55
754,1,4
800,2,23
836,1,287
853,2,97
885,2,304
925,1,51
952,3,25
955,2,312
1101,4,366
1102,1,6
1112,2,71
1154,1,2
814,1,34651
649,2,738
738,4,718
747,5,10435
980,5,905
1134,2,5
1135,2,45
228,4,323
235,3,963
240,4,372
1036,2,102
1037,1,6
573,1,1206
598,1,35
686,1,4912
688,1,2
